,Gender,Designation,Syntax easy,Libraries Helpful,Community Support,debug tool,Projects,cross-platform,Used as,runtime,memory management,extensibility and integrity,experience,ongoing projects,updated
0,Male,Undergrad Student,Agree,Agree,4,4,3,Neutral,2,3,Never,Nan,1-5 years,0,Neutral
1,Male,Undergrad Student,Agree,Strongly disagree,3,3,2,Neutral,2,3,Never,2,5-10 years,3-5,Agree
2,Male,Undergrad Student,Agree,Agree,4,5,1,Disagree,1,3,Never,4,Less than a year,0,Agree
3,Male,Undergrad Student,Agree,Agree,4,3,1,Strongly disagree,1,2,Never,4,Less than a year,0,Neutral
4,Male,Undergrad Student,Agree,Agree,5,4,6,Agree,1,5,Never,5,1-5 years,More,Agree
5,Male,Undergrad Student,Strongly disagree,Disagree,2,5,2,Disagree,1,2,Seldom,2,5-10 years,3-5,Neutral
6,Male,Undergrad Student,Neutral,Neutral,3,3,0,Neutral,2,3,Never,3,Less than a year,0,Neutral
7,Male,Undergrad Student,Strongly agree,Strongly Agree,4,4,2,Neutral,1,3,Never,Nan,1-5 years,0,Agree
8,Male,Undergrad Student,Agree,Agree,4,3,5,Agree,2,3,Seldom,Nan,1-5 years,1-3,Agree
9,Male,Undergrad Student,Agree,Neutral,4,2,0,Strongly disagree,1,3,Seldom,4,Less than a year,0,Neutral
10,Male,Undergrad Student,Agree,Agree,4,3,3,Disagree,2,3,Sometimes,3,Less than a year,0,Agree
11,Male,Undergrad Student,Agree,Agree,4,4,3,Neutral,1,3,Seldom,3,1-5 years,1-3,Agree
12,Male,Undergrad Student,Strongly agree,Strongly Agree,5,4,3,Agree,1,4,Sometimes,4,1-5 years,1-3,Neutral
13,Male,Undergrad Student,Agree,Strongly Agree,3,3,1,Neutral,2,3,Never,Nan,Less than a year,0,Agree
14,Male,Undergrad Student,Agree,Agree,3,3,2,Agree,1,3,Always,4,Less than a year,1-3,Agree
15,Male,Undergrad Student,Agree,Agree,4,4,7,Agree,1,4,Seldom,Nan,1-5 years,0,Agree
16,Male,Undergrad Student,Agree,Agree,4,3,3,Neutral,3,2,Seldom,Nan,Less than a year,0,Agree
17,Male,Undergrad Student,Agree,Agree,3,3,1,Agree,1,4,Never,Nan,1-5 years,0,Neutral
18,Male,Undergrad Student,Strongly agree,Strongly Agree,4,3,4,Agree,2,2,Seldom,Nan,Less than a year,1-3,Agree
19,Male,Undergrad Student,Agree,Agree,4,5,4,Neutral,3,3,Sometimes,4,1-5 years,1-3,Strongly Agree
20,Male,Undergrad Student,Agree,Agree,2,3,2,Disagree,1,3,Sometimes,Nan,Less than a year,1-3,Agree
21,Male,Undergrad Student,Strongly agree,Neutral,4,2,2,Neutral,2,3,Never,2,Less than a year,1-3,Strongly Agree
22,Male,Undergrad Student,Agree,Agree,3,3,3,Disagree,1,4,Never,Nan,Less than a year,0,Neutral
23,Male,Undergrad Student,Agree,Strongly Agree,5,4,2,Neutral,1,3,Never,5,Less than a year,1-3,Agree
